지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
서울 중구,도시대기,111121,중구,2025010101,0.0034,0.73,0.001,0.0306,21.0,12.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010102,0.0032,0.63,0.0011,0.0307,21.0,13.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010103,0.0034,0.54,0.0025,0.0301,19.0,12.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010104,0.0036,0.66,0.001,0.0307,20.0,12.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010105,0.0033,0.75,0.0012,0.0281,23.0,12.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010106,0.0034,0.73,0.0009,0.0266,22.0,15.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010107,0.0028,0.69,0.0011,0.0265,23.0,14.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010108,0.0034,0.59,0.0009,0.0273,23.0,14.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010109,0.003,0.55,0.0025,0.0267,21.0,14.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010110,0.0041,0.55,0.0045,0.0248,22.0,15.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010111,0.0036,0.6,0.0069,0.0239,23.0,16.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010112,0.0046,0.59,0.0116,0.023,24.0,19.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010113,0.0042,0.45,0.0222,0.0177,26.0,12.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010114,0.0041,0.42,0.0363,0.0113,43.0,25.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010115,0.0036,0.37,0.0471,0.007,49.0,31.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010116,0.0038,0.39,0.0466,0.0084,49.0,29.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010117,0.0039,0.41,0.0463,0.0098,54.0,29.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010118,0.0039,0.41,0.0423,0.0122,54.0,29.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010119,0.0031,0.44,0.038,0.0144,52.0,29.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010120,0.003,0.51,0.0309,0.0187,50.0,30.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010121,0.0026,0.58,0.0315,0.0164,48.0,28.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010122,0.003,0.6,0.0285,0.0179,48.0,29.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010123,0.0032,0.64,0.0272,0.0176,49.0,31.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010124,0.0031,0.61,0.0186,0.0241,46.0,29.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010201,0.0031,0.76,0.015,0.0253,47.0,34.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010202,0.0032,0.74,0.0197,0.02,45.0,31.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010203,0.0025,0.53,0.0181,0.0214,39.0,25.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010204,0.0029,0.55,0.0175,0.0196,35.0,26.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010205,0.0027,0.57,0.0151,0.0215,44.0,32.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010206,0.0026,0.65,0.0061,0.027,45.0,30.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010207,0.0031,0.74,0.0006,0.0317,38.0,24.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010208,0.0027,0.69,0.0017,0.0302,36.0,26.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010209,0.0031,0.71,0.0048,0.0266,35.0,24.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010210,0.0038,0.84,0.0042,0.0258,39.0,25.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010211,0.0038,0.54,0.0133,0.0211,41.0,27.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010212,0.0041,0.42,0.0245,0.0141,30.0,17.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010213,0.0033,0.38,0.03,0.0113,24.0,13.0,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2025010214,0.0036,0.31,0.0348,0.0094,24.0,15.0,서울 중구 덕수궁길 15
